name,price
Stockholm,0.1045
Mumbai,0.114
Paris,0.116
London,0.116
Ireland,0.11
Seoul,0.114
Bahrain,0.121
Tokyo,0.12
Sao Paulo,0.19
Central,0.11
Hong Kong,0.132
Singapore,0.12
Sydney,0.12
Frankfurt,0.119
N.Virginia,0.10
Ohio,0.10
N.California,0.12
Oregon,0.10
