name,price
Stockholm,0.204
Mumbai,0.202
Paris,0.224
London,0.222
Ireland,0.214
Seoul,0.236
Bahrain,0.235
Tokyo,0.248
Sao Paulo,0.306
Central,0.214
Hong Kong,0.264
Singapore,0.24
Sydney,0.24
Frankfurt,0.23
N.Virginia,0.192
Ohio,0.192
N.California,0.224
Oregon,0.192
